actor_id,name,actor_type,contact_diameter_m,contact_start_distance_m,move_speed_mps,contact_damage,hits_to_defeat_100,continuous_overlap_ttd_s,control_resistance
EN-01,Skitterling,ordinary,0.44,0.72,1.26,5,20,14.25,0.00
EN-02,Ripper,ordinary,0.80,0.90,1.86,8,13,9.00,0.10
EN-03,Shellback,ordinary,1.04,1.02,1.02,14,8,5.25,0.45
EN-04,Lurker,ordinary,0.84,0.92,1.56,10,10,6.75,0.20
EN-05,Gloomwing,ordinary,0.96,0.98,1.74,10,10,6.75,0.25
EN-06,Needler,ordinary,0.80,0.90,1.20,8,13,9.00,0.25
EN-07,Razorling,ordinary,0.496,0.748,2.55,10,10,6.75,0.15
EN-08,Iron Ripper,ordinary,0.88,0.94,1.65,16,7,4.50,0.55
EN-09,Siegeback,ordinary,1.32,1.16,0.84,24,5,3.00,0.80
EN-10,Dreadwing,ordinary,1.08,1.04,2.10,18,6,3.75,0.65
BOSS-01,Riftjaw,boss,1.50,1.25,1.26,18,6,3.75,0.85
BOSS-02,Brood Titan,boss,2.00,1.50,1.14,24,5,3.00,0.90
BOSS-03,Prism Crown,boss,1.60,1.30,1.35,30,4,2.25,0.92
BOSS-04,Skybreaker Apex,boss,1.90,1.45,1.50,38,3,1.50,0.95
