weapon_id,weapon,branch,class,cost_resource,cost_amount,mechanical_summary,favorable_effect,primary_tradeoff
W-AB,Rail Lance,Unbounded Bore,Amplification,Asterite,2,"Unlimited pierce; other values unchanged","Approximately +35-70% horde throughput","No direct single-target increase"
W-AB,Rail Lance,Fracture Lance,Functional,Barysteel,2,"Every main hit emits a perpendicular 45% Damage shockwave reaching 2.5M each side; target cap two secondary hits per shot","Approximately +40-80% favorable-horde damage","Requires aligned clusters"
W-AB,Rail Lance,Kinetic Capacitor,Conversion,Cinderglass,2,"9 s stationary charge or 4.5 s at full speed; 175% Damage; 200% width; unlimited pierce","High mobile lane-clearing payload","Always slower than base and much slower while stationary"
W-AC,Cluster Mortar,Saturation Cascade,Amplification,Cinderglass,2,"Every primary victim seeds a 40% Damage and 60% radius blast after 0.4 s; target cap two secondary hits","Approximately +40-100% horde throughput","Needs a dense primary impact and delayed occupancy"
W-AC,Cluster Mortar,Interdiction Payload,Functional,Asterite,2,"Leaves a 3 s field dealing 12% Damage every 0.5 s and slowing 30%","Up to +72% full-stay damage plus control","Moving enemies avoid much of the field"
W-AC,Cluster Mortar,Danger-Close Protocol,Conversion,Flux Amber,2,"Shell centers on mech; 180% Damage; 160% radius; normal cadence","Large close-range damage and coverage increase","Loses remote safety and retains 1.2 s delay"
W-AD,Gravity Projector,Echo Well,Amplification,Asterite,2,"Repeats full field once in the same location 1.25 s after original ends","Up to +100% full-stay damage","Low value against relocating targets"
W-AD,Gravity Projector,Gravity Slingshot,Functional,Driftmetal,2,"End burst deals 75% of full field damage budget and launches enemies 4M","Up to +75% damage plus dispersal","Destroys the grouping created by the field"
W-AD,Gravity Projector,Singularity Forge,Conversion,Barysteel,2,"7 s cycle; 4 s collection at 60% DPS; mass cap 12; singularity lasts current field duration and deals Damage x (4 + 0.25 x mass) per second","Infrequent high-impact zone and boss burst","Long fixed cycle and depends on feeding mass"
W-AE,Attack Drones,Replicator Swarm,Amplification,Eidolon Coral,2,"Permanent-drone kills create exact 8 s clones; six temporary-drone cap; clones cannot replicate","Up to 3x squad size during rapid kills","No lone-target benefit and must maintain permanent-drone kills"
W-AE,Attack Drones,Wolfpack Protocol,Functional,Asterite,2,"All drones focus one target; +15% Damage per other permanent drone locked; +30% at full squad","+30% single-target output and reduced waste","Poor crowd distribution"
W-AE,Attack Drones,Containment Lattice,Conversion,Driftmetal,2,"Three rotating links; each deals 200% of one drone's current DPS; target cap two simultaneous links","Strong moving perimeter coverage","No autonomous ranged fire; requires enclosure geometry"
W-AF,Tracking Laser,Coherence Memory,Amplification,Asterite,2,"Focus persists and decays only 10 percentage points/s while unlocked","Approximately +35-55% realized damage in target-rich movement","No increase to the 2x focus cap"
W-AF,Tracking Laser,Target Designator,Functional,Flux Amber,2,"At 75% focus target takes +25% all-weapon damage for 4 s and refreshes while focused","Large coordinated boss increase","Requires sustained focus on one target"
W-AF,Tracking Laser,Cutting Vector,Conversion,Barysteel,2,"Unlimited-pierce facing beam at full DPS; focus holds inside 12 degrees and resets beyond 25 degrees","Potentially multiplies horde throughput","Manual facing and turn discipline"
W-BC,Pulse Repeater,Zero-Lag Emitter,Amplification,Barysteel,2,"Instant hitscan traces dealing current Damage","Eliminates travel delay and movement misses","No ideal stationary-target DPS increase"
W-BC,Pulse Repeater,Suppressive Sequencer,Functional,Cinderglass,2,"Prefers enemies not hit in prior 1.5 s and slows 25% for 1 s","Broad reliable crowd suppression","No raw damage increase"
W-BC,Pulse Repeater,Broadside Oscillator,Conversion,Eidolon Coral,2,"One full-Damage pulse fires left and one right every attack event","Up to 2x raw output","No target selection; strict lateral facing geometry"
W-BD,Mine Layer,Seed Charges,Amplification,Barysteel,2,"Each parent creates four 35% Damage and 50% radius micro-mines; nonrecursive; micro cap four times parent capacity","Up to +140% delayed payload","Requires enemies to consume dispersed children"
W-BD,Mine Layer,Selective Detonators,Functional,Driftmetal,2,"Waits for three ordinary equivalents or elite/boss; +15% Damage per additional equivalent capped at 2x","Higher payload efficiency and up to 2x damage","May leave holes against scattered enemies"
W-BD,Mine Layer,Hunter Mines,Conversion,Flux Amber,2,"Pursues within 6M at 3M/s for 6 s; 150% Damage; 85% radius; one retarget","Better single-target reliability and damage","Less area and less route-defense control"
W-BE,Sentry Pod,Battery Overclock,Amplification,Eidolon Coral,2,"All pods gain +25% attack rate per additional active pod; +50% cap","+50% steady throughput at full setup","Loses value during deployment ramp and expiration gaps"
W-BE,Sentry Pod,Guardian Firmware,Functional,Barysteel,2,"Prioritizes enemies within 4M of mech; hits push 0.8M and stagger 0.25 s","Mobile defensive control","No raw damage increase and less priority on distant threats"
W-BE,Sentry Pod,Forward Bastion,Conversion,Asterite,2,"1.5 s hold deploys one persistent pod at 300% Damage and 200% rate; packs beyond 6M","2x total steady DPS of three base pods","Requires anchoring and redeployment"
W-BF,Orbital Cutters,Kinetic Flywheel,Amplification,Flux Amber,2,"Hits grant +4% Damage and orbit speed; ten-stack cap; delayed stack decay","Up to +40% Damage and speed","Requires continuous close contact"
W-BF,Orbital Cutters,Deflection Ring,Functional,Barysteel,2,"Intercepts projectiles; six 50% Damage shards; target cap two shards; 0.5 s cutter cooldown","Projectile defense converted into retaliation","Depends on interceptable enemy fire"
W-BF,Orbital Cutters,Tethered Reaper,Conversion,Eidolon Coral,2,"One delayed-path blade at 200% size and 200-400% Damage based on blade speed; 0.5 s target repeat","Up to 2x base single-target ceiling and strong path slicing","Must steer a 0.5 s trailing blade at speed"
W-CD,Arc Emitter,Total Conduction,Amplification,Cinderglass,2,"Removes five-target cap; no repeat target in one arc","Approximately +40-150% dense-horde throughput","No direct single-target increase and needs chain density"
W-CD,Arc Emitter,Disruption Current,Functional,Driftmetal,2,"Stagger starts at 0.25 s and gains 0.05 s per chain step capped at 0.60 s","Multi-target control","No raw damage increase and boss resistance applies"
W-CD,Arc Emitter,Ball-Lightning Projector,Conversion,Barysteel,2,"0.4/s base orb launch; 4 s life; arcs twice/s to three targets for current Damage","51.2 rank-zero ideal single-target DPS and large area potential","Slow placement and moving targets lower realized output"
W-CE,Reactor Pulse,Critical-Mass Cycle,Amplification,Eidolon Coral,2,"Prior pulse victims charge next pulse; +2% Damage and +1% radius each; 20-charge cap","Up to +40% Damage and +20% radius","Needs dense sustained contact; boss alone gives one charge"
W-CE,Reactor Pulse,Kinetic Vent,Functional,Cinderglass,2,"Pushes 1M and slows 25% for 1 s","Repeated mining-hold breathing space","No raw damage increase"
W-CE,Reactor Pulse,Supernova Cycle,Conversion,Flux Amber,2,"25% pulse rate; 500% Damage; 250% radius; 2 s charge tell","25% higher steady single-target DPS and huge event coverage","Six-second rank-zero gaps between pulses"
W-CF,Wake Projector,Runaway Wake,Amplification,Cinderglass,2,"After 2 s moving gains +10% Damage and +5% width per second; caps +50% and +25%; clears after 1 s nearly stopped","Up to +50% trail DPS plus width","Requires sustained traversal"
W-CF,Wake Projector,Carrier Ignition,Functional,Flux Amber,2,"Damaged enemies leave 3 s trails at 50% Damage and width; nonrecursive; shared overlap cap","Turns fast enemies into moving area denial","Value depends on enemy movement through other enemies"
W-CF,Wake Projector,Circuit Closure,Conversion,Driftmetal,2,"Closing a 4-40 square-M loop consumes segments and deals six seconds of segment Damage inside; 1 s closure cooldown","Large deliberate area burst","Requires route drawing and consumes the trail"
W-DE,Scatter Array,Saturation Choke,Amplification,Driftmetal,2,"One cone wave hits every enemy once for 400% pellet Damage","Immediate multi-target throughput increase","Close single-target full-volley damage falls from 5x to 4x pellet Damage"
W-DE,Scatter Array,Concussive Fan,Functional,Eidolon Coral,2,"Pellets add 1.2M knockback and 0.35 s stagger; control once per target per volley","Strong close-range breathing space","No raw damage increase and control resistance applies"
W-DE,Scatter Array,Focal Array,Conversion,Cinderglass,2,"Pellets converge at maximum range and deal 140% Damage each","+40% full-volley damage at focal point","Poor damage closer than focal point and facing-dependent"
W-DF,Ram Field,Momentum Cascade,Amplification,Driftmetal,2,"Above 80% speed gains one +10% Damage and +5% width stack per second; impacts grant at most one extra stack/s; six-stack cap; clears after stopping","Up to +60% sustained-contact DPS","Requires continuous high-speed danger exposure"
W-DF,Ram Field,Impact Transfer,Functional,Flux Amber,2,"Rammed enemy travels up to 5M and deals 75% hit Damage to up to three new enemies; nonrecursive","Up to +225% secondary crowd damage per launched enemy","Needs collision lanes and cannot launch bosses"
W-DF,Ram Field,Siege Anchor,Conversion,Asterite,2,"1.25 s hold creates 2.2M circular barrier; crossings deal 150% Damage every 0.5 s; moving 0.5M collapses it","50% higher per-target DPS and complete perimeter coverage","Strict anchoring requirement"
W-EF,Missile Rack,MIRV Saturation,Amplification,Flux Amber,2,"Each missile splits into three 45% Damage and 50% radius micro-missiles distributed distinctly before extras","+35% total direct payload with better distribution","Smaller individual explosion area"
W-EF,Missile Rack,Guardian Reserve,Functional,Eidolon Coral,2,"Stores eight missiles; dives at enemies within 6M for 125% Damage; excess launches normally","Banks quiet-time output and adds +25% reserve damage","Delays ordinary long-range offense"
W-EF,Missile Rack,Spiral Barrage,Conversion,Driftmetal,2,"Four radial non-homing missiles at 125% Damage and radius; launch offset advances 45 degrees; missiles curve 45 degrees/s","+25% raw damage and area with predictable sweep","No priority tracking and shots can miss empty sectors"
